C:\Users\Filip\Documents\bakalarska_prace\files\all_2_cropped.bnx
	# hostname=process4
	# $ cd /home/users/khong/data/SQIMIZ6NPNZWXNWU; /home/users3/tanantharaman/tools/6518/avx/RefAligner -i 94242_Accela_8864_DLE-1_SQIMIZ6NPNZWXNWU_F1P1_10_12_2018_9_16_44_AM_RawMolecules.bnx -merge -sort-runindexinc -subsetGB 480 150 -bnx -o 94242_Accela_8864_DLE-1_SQIMIZ6NPNZWXNWU_F1P1_10_12_2018_9_16_44_AM_RawMolecules480.bnx -f -maxthreads 48
	# CompileDir= /home/users3/tanantharaman/tools/6518/6518 CompileCmd=/opt/gcc-5.4.0TSAN/bin/g++ -B/opt/binutils-2.27  -fopenmp -Ofast -mavx -mfpmath=sse -DUSE_PFLOAT=1 -DUSE_RFLOAT=1 -DUSE_SSE=1 -DUSE_MFLOAT=1 -DUSE_EPOW=1 -I/opt/glibc-2.24/include -DUSE_STATIC -freciprocal-math -fno-signed-zeros -fno-trapping-math -fno-lto-odr-type-merging  -Wl,--dynamic-linker=/opt/glibc-2.24/lib/ld-linux-x86-64.so.2 -Wl,--rpath=/opt/glibc-2.24/lib -Wl,--rpath=/opt/gcc-5.4.0TSAN/lib64 -lrt -lmvec -L/opt/glibc-2.24/lib -L/opt/gcc-5.4.0TSAN/lib64 -static -static-libstdc++ -static-libgcc  SVNversion=6518 $Header: http://svn.bnm.local:81/svn/Informatics/RefAligner/trunk/RefAligner.cpp 6518 2017-06-14 21:34:34Z tanantharaman $
	# FLAGS: USE_SSE=1 USE_AVX=1 USE_MIC=0 USE_PFLOAT=1 USE_RFLOAT=1 USE_MFLOAT=1 USE_EPOW=1 DEBUG=1 VERB=1
	# BNX File Version:	1.2
	# Label Channels:	1
	# Nickase Recognition Site 1:	cttaag;green_01
	# Bases per Pixel:	500
	#rh SourceFolder	InstrumentSerial	Time	NanoChannelPixelsPerScan	StretchFactor	BasesPerPixel	NumberofScans	ChipId	FlowCell	SNRFilterType	MinMoleculeLength	MinLabelSNR	RunId
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0111	-	2018-10-10 09:26:12 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	1
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0112	-	2018-10-10 09:27:12 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	2
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0121	-	2018-10-10 09:28:19 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	3
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0122	-	2018-10-10 09:29:22 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	4
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0131	-	2018-10-10 09:30:32 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	5
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0132	-	2018-10-10 09:31:31 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	6
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0141	-	2018-10-10 09:32:38 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	7
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0142	-	2018-10-10 09:33:39 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	8
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0211	-	2018-10-10 09:57:23 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	9
	# Run Data	/home/bionano/access/local/chips/SN_SQIMIZ6NPNZWXNWU/Run_39abacaa-35af-43e3-b5a6-0ccab771318f/FC1/Cohort0212	-	2018-10-10 09:58:23 PM	68819821	0.83	375	1	chips,SN_SQIMIZ6NPNZWXNWU,Run_39abacaa-35af-43e3-b5a6-0ccab771318f,51041809	1	dynamic	15.00	3.000000	10
